team,games_played,wins,losses,win_prop,minutes,points,field_goals,field_goals_attempted,field_goals_prop,points3,points3_attempted,points3_prop,free_throws,free_throws_att,free_throws_prop,off_rebounds,def_rebounds,rebounds,assists,turnovers,steals,blocks,block_fga,personal_fouls,personal_fouls_drawn,plus_minus
Golden State Warriors,82,73,9,0.89,48.5,114.9,42.5,87.3,48.7,13.1,31.6,41.6,16.7,21.8,76.3,10,36.2,46.2,28.9,15.2,8.4,6.1,4.1,20.7,19.8,10.8
Cleveland Cavaliers,82,57,25,0.695,48.4,104.3,38.7,84,46,10.7,29.6,36.2,16.3,21.7,74.8,10.6,33.9,44.5,22.7,13.6,6.7,3.9,4.4,20.3,20.6,6
